conversation_id,key_issue,key_resolution
124,Unresolved complaint about expired product causing illness.,Escalated complaint; 24-hour update promised.
125,Damaged Turmeric tablets in delivery.,Replacement Turmeric tablets sent.
126,Customer concerned about product authenticity.,Product authenticity confirmed.
127,Lost order.,Replacement order issued.
128,Unresolved complaint about a damaged Vitamin D supplement.,Complaint escalation; update within 48 hours.
129,Incorrect discount applied to online order.,Refund issued for incorrect charge.
130,Cancelled click-and-collect order due to out-of-stock items.,Refund issued for cancelled order due to stock issue.
131,Order cancellation due to technical glitch.,New order placed.
132,Incorrect product received.,"Incorrect item shipped; replacement sent, return arranged."
133,Positive feedback.,Positive feedback given.
134,Expressing gratitude for helpful advice.,Positive feedback; no issue resolution needed.
135,Persistent fatigue and aches despite regular Vitamin D supplement use.,"Consult doctor, consider higher dosage/D3 supplements."
136,Forgot discount code at checkout.,Order canceled; customer to reorder with discount code.
137,Expressing satisfaction with order.,Positive feedback; no issue resolution needed.
138,Pending payment on online order.,Payment cancelled; retry order.
139,Lack of gluten-free products in Bristol store.,Directed customer to online gluten-free product section.
140,Expressing gratitude for a sale.,Expressing gratitude for a sale.
141,Delayed vitamin order; requested cancellation and refund.,"Order canceled, refund issued."
142,Ingredient inquiry (artificial flavors).,Confirmed: No artificial flavors in chocolate vegan protein powder.
143,Unprofessional staff behavior in Egham store.,Complaint escalated to store manager for investigation.
144,Out-of-stock item.,Out of stock; expected in two weeks.
145,Gluten-free snack order mislabeling.,Refund issued.
146,Delayed order delivery.,Order expedited; £10 voucher issued.
147,Refund for damaged product.,"Refund processed, 10% discount issued."
148,Missing order confirmation email.,Resent confirmation email.
149,Late delivery.,Expedited delivery due to courier issue.
150,Missing item in order.,Replacement protein powder sent.
151,Expressing gratitude.,Expressing gratitude for past menopause advice.
152,Discontinued preferred garlic supplement strength.,Discount offered for discontinued product; alternative products suggested.
153,Rewards points not added after purchase.,Points added to account due to technical glitch.
154,Delayed international shipment.,International shipment delayed in customs; advised to check with customs.
155,Missing reward points.,Missing reward points added to account.
156,Incorrect order fulfillment.,Missing item sent; extra item kept as apology.
157,Understanding black pepper's inclusion in turmeric capsules.,Black pepper enhances turmeric absorption.
158,Positive feedback on Fulham store experience.,Positive feedback; no issue needing resolution.
159,Unfriendly staff.,Feedback on unhelpful staff forwarded to store manager.
160,Package not received despite tracking showing delivery.,Replacement order dispatched.
161,Account lockout due to incorrect password attempts.,Account unlocked; password reset link sent.
162,Damaged vitamin bottle in order #HB990011.,Replacement bottle sent.
163,Click and collect order delay.,Order delay resolved; will be ready in one hour.
164,Rude and dismissive staff.,Complaint logged; store manager notified.
165,Order processing delay.,Order delayed due to stock issues; will ship within 48 hours.
166,Unable to find chamomile and lavender tea blend in-store.,Online order placement assistance.
167,"Misunderstanding about ""buy one, get one free"" vitamin offer.",Discount code for next purchase.
168,Received expired beauty product.,Replacement product sent due to expired item.
169,Missing reward points email.,Points added; email confirmation sent.
170,Collagen powder out of stock in Bristol store.,Product out of stock; website alternative suggested.
171,Store clutter/disorganization.,Feedback noted; store manager informed.
172,Adding an item to an existing online order.,Unable to add to existing order; advised to place a new order.
173,Damaged and incorrect orders; slow replacements.,Replacements ordered; discount offered.
174,Seeking menopause symptom relief.,Recommended Black Cohosh and Menopause Support supplements; in-stock at South Shields store.
175,Seeking anxiety relief supplements.,Supplement recommendations for anxiety: CBD oil and magnesium.
176,Out-of-stock order cancellation.,"Order cancelled, refund issued."
177,Returning unwanted supplements.,Return accepted; unopened supplements returnable within 30 days.
178,Returning an impulse online purchase.,"Return accepted; unopened, within 30 days."
179,Severe allergic reaction to Naturtint hair color.,Refund issued; product reported to quality assurance.
180,Setting up recurring online orders.,Recurring order subscription set up.
181,Store closure prevented order collection.,Home delivery arranged.
182,Delayed order (HNB99900).,Order expedited; discount code offered.
183,No noticeable hair growth after one month of using Hair Burst vitamins.,Consult a healthcare professional; explore alternative products.
184,Missing almond milk deliveries.,Missing almond milk reshipped; 10% discount applied.
185,Positive feedback on store cleanliness and stock levels.,Positive feedback; no issue.
186,Delayed refund processing.,Refund expedited; customer should receive it in 3-5 business days.
187,Felt pressured by sales assistant.,Feedback provided; no resolution needed.
188,Order processing delay.,Order delay; escalated to warehouse.
189,Incorrect supplement sizes received.,"Incorrect order fulfillment;  correct sizes sent, small bottles kept."
190,Lack of email notifications for subscription order.,System error fixed; Vitamin C removed from order.
191,Nausea after taking multivitamins.,Take vitamins with food.
192,Inaccurate product description (sulfates listed in ingredients despite claim of being sulfate-free).,Replacement product sent; website update pending.
193,Return refused due to missing receipt.,Return authorized using bank statement.
194,Racist abuse by staff in store.,Investigation of racist incident promised.
195,Order cancellation due to out-of-stock item.,"Order cancelled, refund processed."
196,Expired promotional code.,Expired code replaced with 15% off code.
197,Expressing gratitude.,Positive feedback; no issue requiring resolution.
198,Seeking advice on stress and anxiety supplements.,Supplement recommendations: ashwagandha and magnesium.
199,Leaked order; reorder placed.,Reorder placed; delivery in 3-5 business days.
200,Short expiry date on Vitamin D tablets.,Replacement shipment of Vitamin D tablets with longer expiry date.
201,Delayed order.,"Order delayed, but now shipping; expected tomorrow."
202,Out-of-stock items in BOGO sale.,Back-in-stock notification provided.
203,Inquiring about in-store events and promotions.,Upcoming in-store event details provided.
204,Missing mobile app search bar.,Website use suggested; tech team notified about app issue.
205,Incorrect delivery address.,Redelivery arranged.
206,Expressing appreciation for a promotion.,Positive feedback on promotion.
207,Damaged vitamin delivery; no resolution after multiple attempts.,"Damaged vitamin order; replacement expedited, discount offered."
208,Delayed delivery of gift hamper.,Expedited shipment and 15% discount offered.
209,Incorrect delivery address.,Redelivery arranged.
210,Lack of follow-up on reported supplement issue.,Issue escalated; callback promised within 24 hours.
211,Reduced quantity of D3 tablets without adequate notice.,15% discount offered for packaging change.
212,Poor product display.,Feedback submitted to Birmingham store manager.
213,In-store discount not applied at checkout.,Refund processed for discount not applied.
214,Missing order.,Replacement order expedited; 10% discount offered.
215,Double charge after failed payment.,Refund processed; reorder advised.
216,Reduced quantity of soy mince for the same price.,Feedback forwarded to product team.
217,Allergic reaction to sleep mist.,Full refund issued for allergic reaction to product.
218,Positive feedback on order processing speed.,Positive feedback; no issue.
219,Missing rewards points.,Rewards points manually added; system issue escalated.
220,Failed online chat address change.,Delivery address updated.
221,Staff member's homophobic and offensive language.,Investigation launched into staff misconduct.
222,Lost vitamin order.,Lost order reshipped.
223,Incomplete skincare set order.,Backorder placed for missing moisturizer.
224,Positive feedback on Ipswich store.,Positive feedback; no issue.
225,Delayed order.,Order delayed due to stock; will ship in two days.
226,Incorrect delivery address.,Redelivery arranged.
227,Damaged items in delivery.,Damaged items replaced.
228,Complimenting helpful staff.,Positive feedback; no issue resolution needed.
229,Missing order.,Replacement order issued.
230,Click and collect order delay.,Order priority expedited.
231,Incorrect VAT charging on Channel Islands order.,Manual VAT refund issued.
232,Cancelled click-and-collect order due to payment issue.,New order placed after payment issue resolved.
233,Suspected allergic reaction to gluten-free cereal.,Refund processed.
234,Unprocessed subscription cancellation.,Subscription cancellation processed.
235,Stockouts of preferred products.,Green tea extract ordered; notification set for omega-3 restock.
236,Poor in-store customer service.,Issue reported: Poor in-store customer service.  Resolution: Issue escalated to store manager.
237,Wrong delivery address.,Re-shipment to correct address.
238,Difficulty falling asleep.,Recommended melatonin supplements.
239,Incorrect delivery address.,Redelivery arranged.
240,Offensive menopause campaign email.,Customer removed from mailing list.
241,Account lockout.,Account unlocked; password reset link sent.
242,Expressing appreciation.,Positive feedback; no issue.
243,Poor customer service at Swansea Quadrant store.,Feedback on poor service at Swansea Quadrant store reported to manager.
244,Unarrived store collection order.,"Order cancelled, refund processed."
245,Order delivery delay and lack of communication.,Order dispatch expedited; 15% discount offered.
246,Incorrect order fulfillment due to unclear promotion.,10% discount offered for unclear promotion.
247,Delayed order.,Order delayed; expedited shipping.
248,Delayed Magnesium supplement delivery.,Order expedited; gift added to next delivery.
249,Payment processing error.,Payment processor issue resolved; retrying payment was successful.
250,App crashing.,Reinstall the app.
251,Partial order never arrived.,Refund issued for lost item.
252,Late order delivery.,Order reshipped with priority shipping.
253,Product authenticity verification.,Product authenticity confirmed.
254,Long click-and-collect wait time.,Feedback provided; no resolution offered.
255,Racial discrimination by staff.,Investigation of racism complaint; apology given.
256,Incomplete order; missing lavender oil.,Backorder placed for missing lavender oil.
257,Delayed order.,Shipping expedited; order to arrive in 2 days.
258,Messy store display in Brighton.,Feedback relayed to store manager.
259,Nutritional information inquiry.,Nutritional information provided.
260,Promotional code not working for existing customer.,Provided alternative 15% off code for existing customer.
261,Leaked order; reorder placed.,Reorder placed; delivery in 3-5 business days.
262,Damaged delivery; broken Vitamin D bottle.,Replacement sent for damaged Vitamin D bottle.
263,Incorrect order quantity.,Order quantity corrected.
264,No issue; expressing positive feedback.,Positive feedback; no issue resolution needed.
265,Seeking anxiety remedy recommendation.,Product recommendation: CBD oil for anxiety.
266,Inquiring about promotions on sports nutrition products.,Provided information on current promotions for whey protein and pre-workout supplements.
267,Click and collect order delay.,"Order delayed, 10% discount offered."
268,Missing order confirmation after Alipay payment.,Payment verification pending; 24-hour email update.
269,Out-of-stock online order.,Full refund issued.
270,Delayed next-day delivery.,"Refund issued, discount offered."
271,Delayed order delivery.,Refund issued for delayed order.
272,Out-of-stock item at preferred location.,Chia seeds reserved at Bath store.
273,Expressing gratitude for online chat support.,Positive feedback; no issue resolution needed.
274,Missing subscription order.,Order expedited; expected delivery in 3 days.
275,Suspected counterfeit tea.,Taste variations explained; genuine product confirmed.
276,Click & collect order impacted by store closure.,Home delivery arranged at no extra cost.
277,Delayed/lost order.,Lost order replaced; 20% discount offered.
278,Outdated store closure information on website.,Website update requested; outdated store information reported.
279,Discount code not applying online.,Manually applied discount code.
280,Delayed order; requested refund.,Refund issued for delayed order.
281,Unknowledgeable staff at Liverpool store.,Issue reported: Unknowledgeable staff.  Follow-up promised.
282,Delayed tracking update on Canadian order.,Tracking information delay due to a technical issue; package is in transit.
283,Expressing gratitude.,Positive feedback; no issue.
284,Expressing appreciation for discounts.,Expressing appreciation for online discounts.
285,Unclear ingredient labeling.,Bulking agent explained: microcrystalline cellulose for tablet integrity.
286,Racist staff behavior at Oxford Street store.,Investigation into racist remarks by staff.
287,Product out of stock.,Turmeric capsules out of stock; online order suggested.
288,Unfriendly store staff.,Feedback on unfriendly High Street store staff forwarded to manager.
289,Menopause insomnia; seeking supplement advice.,Supplement recommendations (Valerian root and magnesium) for insomnia.
290,Late vitamin D supplement delivery.,Replacement order expedited.
291,Positive feedback on Waterlooville branch staff.,Positive feedback provided.
292,Unprofessional staff conduct/inappropriate joke.,Issue escalated to store manager.
293,Request for information on chamomile tea benefits.,Information request fulfilled: benefits of chamomile tea provided.
294,Order delivered to wrong address.,Replacement order issued due to delivery to wrong address.
295,Out-of-stock protein bars.,Special order placed for out-of-stock protein bars.
296,Click & collect order impacted by store closure.,Order transferred to home delivery.
297,Incorrect product received.,"Incorrect order received; replacement chia seeds sent, flax seeds complimentary."
298,Ineffective menopause supplement.,Suggested Red Clover supplement.
299,Incomplete gift order.,Missing items from order will be shipped.
300,Different looking quinoa.,Refund issued for different-looking quinoa.
301,Lack of shipping updates.,Order dispatched; delivery within 2 days.
302,Buy one get one half price offer not applied.,Discount manually applied to order.
303,"Damaged, incomplete order.",Replacement order sent.
304,Expressing gratitude for a sale.,Positive feedback; no issue resolution needed.
305,Excessive packaging for a small order.,Feedback on excessive packaging; voucher issued.
306,Positive feedback.,Positive feedback given; no issue to resolve.
307,Damaged order upon collection.,Order reordered; notification to follow.
308,Incorrect pricing during Penny Sale.,Refund issued for overcharged Penny Sale items.
309,Returning unwanted purchase.,Return instructions provided.
310,No issue; complimenting store organization.,Positive feedback; no issue resolution needed.
311,Incorrect online order received.,Incorrect order received; correct order dispatched.
312,Out-of-stock products.,Products reserved at High Street store.
313,Order cancellation due to technical glitch.,New order placed.
314,Late delivery of fish oil supplements.,Replacement order expedited.
315,Damaged product in delivery.,Replacement jar sent.
316,Order processing delay.,Order processing expedited; update within 24 hours.
317,Seeking memory and focus supplement recommendations.,Supplement recommendations: Ginkgo Biloba and Omega-3 Fish Oil.
318,Needed advice on iron supplements.,Recommended Gentle Iron 20mg supplement.
319,Expressing gratitude.,No issue; expressed gratitude.
320,Website discount not applied.,Manual discount applied.
321,Expressing gratitude for fast delivery.,Positive feedback; fast delivery.
322,Inquiry about a promotion.,Information provided about a promotion.
323,Positive feedback on subscription service.,Positive feedback; no issue resolution needed.
324,Leaking fish oil supplement bottle.,Replacement fish oil bottle sent.
325,Hair supplement recommendation.,"Recommended Biotin 10,000mcg supplement for hair health."
326,Discount code not working.,20% discount manually applied.
327,CBD oil with short expiration date.,Replacement CBD oil sent.
328,Store closed early due to alarm system issue.,Store closed early due to alarm system issue.
329,Seeking natural remedy for hot flashes.,Recommended Black Cohosh and Menopause Support supplements; confirmed availability at Stroud store.
330,Poor customer service at Serpentine Peterborough store.,Feedback on poor customer service reported to store manager.
331,Missed delivery.,Re-scheduled delivery.
332,Incorrect delivery address.,Order reshipped to correct address.
333,Expressing gratitude for a discount.,Gratitude for discount.
334,Order cancellation.,Order cancellation and refund initiated.
335,Lack of promotional knowledge by store staff.,Issue reported: New staff unaware of online promotion.  Resolution: Agent will ensure new staff receive proper training.
336,Chertsey store closed early.,Home delivery arranged.
337,Seeking menopause remedy recommendation.,Product recommendation: Black Cohosh Capsules for menopause symptoms; Bristol store availability confirmed.
338,"Understanding the ""3 for 2"" offer.",Offer clarification provided.
339,Skip next subscription delivery.,Next delivery skipped.
340,Positive feedback on online order and in-store pickup.,Positive feedback; no issue resolution needed.
341,Hidden checkout fees.,No resolution provided; customer complained about hidden fees at checkout.
342,Seeking stress relief remedy recommendation.,Recommended Rhodiola Rosea capsules for stress relief.
343,Order processing error.,Order manually processed due to website error.
344,Expressing gratitude for quick delivery.,Positive feedback; no issue.
345,Product availability and order placement.,Order placed for two bottles of Echinacea with home delivery.
346,Delayed order delivery.,Order delayed; expedited shipping and 10% discount offered.
347,Unknowledgeable staff.,Feedback noted; staff training improvement planned.
348,Incorrect product received.,Replacement order issued due to packaging discrepancy.
349,Expressing appreciation for excellent store service.,Positive feedback; no issue requiring resolution.
350,Incorrect item received in online order.,"Incorrect item shipped; correct item re-shipped, customer keeps incorrect item."
351,Expressing appreciation for a discount.,Positive feedback; no issue resolution needed.
352,"Damaged box, missing items.",Missing items resent; 15% discount offered.
353,Unhelpful store staff.,Feedback on unhelpful staff forwarded to store manager.
354,Out-of-stock subscription item.,Subscription switched to Omega-3 Fish Oil capsules.
355,Felt pressured into making unwanted purchases.,Feedback passed to store manager.
356,Missing loyalty points.,Missing loyalty points added to account.
357,Lack of sales on needed Vitamin B2 supplements.,Subscribed to newsletter for sale alerts.
358,Incomplete BOGO offer.,10% discount offered for unclear offer.
359,Order shipment status inquiry.,"Order shipped, tracking number to follow."
360,Missing item in online order.,Missing nut packet to be resent.
361,Lack of organic baby food variety in-store.,Provided online links to organic fruit purees.
362,Ineffective menopause supplements.,Suggested alternative supplements; consult healthcare provider.
363,Request for information on magnesium supplements.,Information request fulfilled.
364,Incorrect online order fulfillment (three times).,"Replacement order sent, return arranged, £5 voucher issued."
365,Ineffective magnesium supplement.,Recommended Magnesium Citrate tablets.
366,Delayed vitamin order.,Shipping expedited due to stock delay.
367,Defective hairbrush.,Return damaged brush to Birmingham store for replacement.
368,Dry scalp from shampoo.,Refund processed.
369,Positive feedback on online order and in-store pickup.,Positive feedback; smooth online order and in-store pickup.
370,Damaged goods delivered twice.,Replacement order issued; 15% discount offered.
371,Incorrect website description of BOGO offer.,20% discount on next purchase.
372,Long wait for click and collect order.,Feedback provided; 10% discount offered.
373,Price increase of eye health products.,Buy one get one half price offer.
374,Poor in-store service; seeking digestive health supplement advice.,Feedback given; probiotic supplement recommended.
375,Safety of microcrystalline cellulose in supplements.,Microcrystalline cellulose safety explained.
376,Suspected gluten contamination in gluten-free biscuits.,Refund issued; quality control notified.
377,Menopausal mood swings.,Recommended Evening Primrose Oil and Menopause Mood Relief supplement.
378,Ineffective sleep aid.,Suggested longer trial of product.
379,Price increase of Aloe Vera gel.,Enrolled in loyalty program.
380,Lack of online product usage instructions.,Provided usage instructions for Vitamin C serum.
381,Price comparison with competitor.,Price matching information provided.
382,Damaged skincare delivery.,Replacement shipment and 15% discount.
383,Concern about filler ingredient being listed first.,Ingredient listing explained; feedback forwarded.
384,Discontinued vitamin tablets.,Offered 5000IU Vitamin D3 as alternative.
385,Damaged essential oil delivery.,Replacement order sent.
386,Request for information on biotin.,Provided information sheet on biotin.
387,Unapplied discount code.,Refund issued for missing discount.
388,Damaged shampoo bottle; requested replacement.,Damaged shampoo replacement shipped.
389,Delayed order delivery.,Replacement order with express shipping.
390,Expressing appreciation for a discount.,Positive feedback; no issue resolution needed.
391,Damaged nut package.,Replacement packet sent.
392,Positive feedback on Sheffield store service.,Positive feedback; no resolution needed.
393,Concern about parabens in face cream.,Offered paraben-free alternative.
394,Incorrect sale price charged.,Refund processed for price difference.
395,Expressing appreciation for a sale.,Positive feedback; no issue.
396,Positive feedback on Newcastle store service.,Positive feedback given; no resolution needed.
397,Order status/shipping delay.,Order delayed; expedited shipping and gift voucher offered.
398,Limited essential oil selection in Sheffield store.,Planned essential oil expansion in two months.
399,Dairy-free yogurt contained milk; allergic reaction.,Refund issued; quality control investigation initiated.
400,Incorrect supplement dosage advice received in-store.,Follow dosage instructions on bottle; consult healthcare professional if unsure.
401,Incorrect delivery address.,Replacement order sent.
402,Felt pressured into unwanted purchases.,Return instructions emailed.
403,Unsealed skincare product delivery.,Replacement product sent; expedited shipping requested.
404,Damaged/incomplete product (Vitamin C tablets).,Replacement Vitamin C tablets sent.
405,Forgotten to ask about supplement side effects.,Side effect information provided for supplements.
406,Gluten-free bread possibly containing wheat.,Product confirmed gluten-free; contained no wheat flour.
407,Incorrect item received in order.,Missing protein powder; replacement sent.
408,Delayed response to complaint about product causing illness.,Complaint escalated; update within 24 hours.
409,Damaged order contents.,Replacements sent for damaged items.
410,Pushy sales staff.,Feedback submitted regarding pushy sales tactics in Manchester store; manager notified.
411,Unable to log in.,Password reset.
412,Gluten-free confirmation.,Confirmed product is gluten-free.
413,"Felt pressured by ""limited time"" offers; wants to return items.",Return instructions emailed for unwanted items.
414,Inquiry about promotions.,Information on current promotions.
415,Unprocessed refund request.,Refund expedited.
416,Authenticity of chia seeds.,Chia seed authenticity confirmed.
417,Expressing gratitude.,No issue; expressing gratitude for a sale.
418,Allergic reaction to aloe vera gel.,"Stop use, patch test, consult dermatologist if irritation persists."
419,Positive feedback on Reading store staff.,Positive feedback; no issue resolution needed.
420,Missing almond butter deliveries.,Replacement almond butter sent; 10% discount applied.
421,Product out of stock online.,Product out of stock online; available in Southport branch.
422,Finding organic vitamins for energy boost.,Organic B-Complex vitamins reserved at Greenford store.
423,Seeking stress management supplement recommendations.,Recommended Ashwagandha and Rhodiola supplements for stress.
424,Goji berries out of stock in Belfast store.,Online order placed for goji berries.
425,Request for organic baby food availability and reservation.,Organic baby food pouches reserved at Ealing store.
426,Late/missing order.,Replacement order issued.
427,Discount not applied to order.,Discount manually applied.
428,Curdled oat milk.,Refund issued for curdled oat milk.
429,Lack of follow-up on complaint (REF4567).,Issue escalation; callback promised.
430,Seeking cholesterol supplement advice.,Supplement recommendations for cholesterol: Red Yeast Rice and Omega-3 Fish Oil.
431,Choosing a multivitamin.,Recommended Radiance Multi Vitamins with Iron.
432,Racial profiling by manager.,Thorough investigation of racial profiling complaint promised.
433,"Dry, brittle hair from Biotin shampoo.",Refund or exchange offered; alternative product recommendations provided.
434,Limited low-sugar snack selection.,Planned expansion of low-sugar snacks in two months.
435,Inability to shop in-store due to surgery.,Phone order placed.
436,Incorrect repeat order received.,Replacement order processed.
437,App payment error (debit card).,Payment issue resolved by using PayPal.
438,Lack of nearby store; seeking equivalent online support.,Online chat and phone support offered as alternatives to in-store advice.
439,Damaged goods in transit.,"Replacements sent, 15% discount offered."
440,Store closure prevented order collection.,Order redirected for delivery.
